i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
28,1,"(1, 2)",1,2,6500.763523,6496.850562,3.912961705,66 milliseconds,0
28,2,"(2, 5)",2,5,3627.646393,3626.556633,1.08975955,54 milliseconds,0
28,3,"(1, 3)",1,3,1878.487854,1878.27409,0.213764,75 milliseconds,0
28,4,"(1, 4)",1,4,101.0186379,100.9841465,0.034491392,68 milliseconds,0
28,5,"(2, 6)",2,6,3.90E-12,0.000171161,-0.000171161,50 milliseconds,0
28,6,"(2, 1)",2,1,20456.51603,20452.76185,3.754178886,62 milliseconds,0
28,7,"(1, 5)",1,5,1938.997877,1938.994585,0.003292633,62 milliseconds,0
28,8,"(1, 6)",1,6,207.339112,204.77987,2.559241998,57 milliseconds,0
28,9,"(2, 2)",2,2,26738.59048,26735.03745,3.553030324,62 milliseconds,0
28,10,"(2, 3)",2,3,2367.259052,2357.769802,9.489249898,62 milliseconds,1
28,11,"(2, 4)",2,4,3.55E-11,0.000135098,-0.000135098,52 milliseconds,0
28,12,"(1, 1)",1,1,4599.741812,4599.294961,0.44685137,62 milliseconds,0
29,1,"(1, 2)",1,2,6540.937167,6497.282256,43.6549104,73 milliseconds,1
29,2,"(2, 5)",2,5,3956.946901,3955.410111,1.536789466,66 milliseconds,0
29,3,"(1, 3)",1,3,1874.689146,1873.850027,0.839118317,66 milliseconds,0
29,4,"(1, 4)",1,4,98.06317258,97.65335511,0.409817465,63 milliseconds,0
29,5,"(2, 6)",2,6,1.89E-11,0.00017737,-0.00017737,49 milliseconds,0
29,6,"(2, 1)",2,1,20354.12695,20340.44863,13.67831933,81 milliseconds,0
29,7,"(1, 5)",1,5,1936.378909,1936.376967,0.001942405,70 milliseconds,0
29,8,"(1, 6)",1,6,208.2562369,199.4649149,8.791322056,69 milliseconds,0
29,9,"(2, 2)",2,2,26617.80549,26612.44527,5.360218404,71 milliseconds,0
29,10,"(2, 3)",2,3,2369.51833,2357.226941,12.29138936,63 milliseconds,0
29,11,"(2, 4)",2,4,3.42E-10,0.000138069,-0.000138069,55 milliseconds,0
29,12,"(1, 1)",1,1,4605.249004,4601.478131,3.770872945,59 milliseconds,0
30,1,"(1, 2)",1,2,6530.412895,6515.76961,14.6432846,83 milliseconds,0
30,2,"(2, 5)",2,5,4286.434871,4284.186433,2.248438811,74 milliseconds,0
30,3,"(1, 3)",1,3,1879.355296,1878.662346,0.692949854,68 milliseconds,0
30,4,"(1, 4)",1,4,103.4307822,102.4863085,0.944473642,78 milliseconds,0
30,5,"(2, 6)",2,6,2.68E-13,0.000185942,-0.000185942,60 milliseconds,0
30,6,"(2, 1)",2,1,20272.66343,20241.1489,31.51452552,91 milliseconds,1
30,7,"(1, 5)",1,5,1933.193092,1932.974947,0.218144932,69 milliseconds,0
30,8,"(1, 6)",1,6,223.2520748,219.3334278,3.918647065,71 milliseconds,0
30,9,"(2, 2)",2,2,26515.03162,26499.13528,15.89633533,73 milliseconds,0
30,10,"(2, 3)",2,3,2438.283377,2415.734132,22.54924506,79 milliseconds,0
30,11,"(2, 4)",2,4,1.24E-14,0.000162467,-0.000162467,66 milliseconds,0
30,12,"(1, 1)",1,1,4605.855869,4594.465712,11.39015612,74 milliseconds,0
31,1,"(1, 2)",1,2,6509.328685,6504.125011,5.203673922,82 milliseconds,0
31,2,"(2, 5)",2,5,4626.856138,4626.579337,0.276801102,66 milliseconds,0
31,3,"(1, 3)",1,3,1871.218074,1870.832834,0.385239588,68 milliseconds,0
31,4,"(1, 4)",1,4,93.59339495,93.08664994,0.506745002,71 milliseconds,0
31,5,"(2, 6)",2,6,5.49E-10,0.000602213,-0.000602212,50 milliseconds,0
31,6,"(2, 1)",2,1,20201.55539,20201.55764,-0.002254463,72 milliseconds,0
31,7,"(1, 5)",1,5,1927.754864,1927.40091,0.353953848,72 milliseconds,0
31,8,"(1, 6)",1,6,215.3093001,212.8862934,2.423006696,63 milliseconds,0
31,9,"(2, 2)",2,2,26414.19702,26399.2483,14.94872044,79 milliseconds,1
31,10,"(2, 3)",2,3,2391.185005,2383.749562,7.435443281,70 milliseconds,0
31,11,"(2, 4)",2,4,3.20E-12,0.000458655,-0.000458655,61 milliseconds,0
31,12,"(1, 1)",1,1,4603.375437,4599.843646,3.531791515,72 milliseconds,0
32,1,"(1, 2)",1,2,6510.751422,6505.39441,5.3570122,68 milliseconds,0
32,2,"(2, 5)",2,5,4974.52858,4974.424168,0.104412303,57 milliseconds,0
32,3,"(1, 3)",1,3,1874.908576,1874.389813,0.518763221,60 milliseconds,0
32,4,"(1, 4)",1,4,92.34793722,91.91378974,0.434147484,65 milliseconds,0
32,5,"(2, 6)",2,6,2.83E-12,0.000177613,-0.000177613,59 milliseconds,0
32,6,"(2, 1)",2,1,20124.53936,20124.40536,0.133994458,60 milliseconds,0
32,7,"(1, 5)",1,5,1928.283391,1926.788643,1.494748255,55 milliseconds,0
32,8,"(1, 6)",1,6,218.0506511,215.2632008,2.787450261,56 milliseconds,0
32,9,"(2, 2)",2,2,26322.79789,26312.04115,10.75674045,69 milliseconds,1
32,10,"(2, 3)",2,3,2409.350696,2403.842828,5.507867791,67 milliseconds,0
32,11,"(2, 4)",2,4,3.16E-11,0.000139234,-0.000139234,50 milliseconds,0
32,12,"(1, 1)",1,1,4607.251958,4604.608758,2.643200251,58 milliseconds,0
33,1,"(1, 2)",1,2,6521.940505,6518.683433,3.257071832,75 milliseconds,0
33,2,"(2, 5)",2,5,5326.212286,5326.116466,0.095820458,61 milliseconds,0
33,3,"(1, 3)",1,3,1890.05338,1889.660654,0.392725961,71 milliseconds,0
33,4,"(1, 4)",1,4,99.3261524,98.88275407,0.443398336,68 milliseconds,0
33,5,"(2, 6)",2,6,6.15E-10,0.000407236,-0.000407235,60 milliseconds,0
33,6,"(2, 1)",2,1,20045.67548,20044.92314,0.752343625,69 milliseconds,0
33,7,"(1, 5)",1,5,1935.647564,1934.666394,0.981170242,65 milliseconds,0
33,8,"(1, 6)",1,6,228.6070835,227.4320267,1.175056856,72 milliseconds,0
33,9,"(2, 2)",2,2,26233.60514,26212.05121,21.55392984,64 milliseconds,1
33,10,"(2, 3)",2,3,2385.963579,2381.246371,4.717208077,69 milliseconds,0
33,11,"(2, 4)",2,4,8.55E-11,0.000306199,-0.000306199,58 milliseconds,0
33,12,"(1, 1)",1,1,4610.413237,4605.972485,4.440751723,73 milliseconds,0
34,1,"(1, 2)",1,2,6541.236581,6538.333908,2.902672727,75 milliseconds,0
34,2,"(2, 5)",2,5,5678.511067,5678.512096,-0.001028247,59 milliseconds,0
34,3,"(1, 3)",1,3,1911.122613,1910.325709,0.796903832,63 milliseconds,0
34,4,"(1, 4)",1,4,106.992757,106.1703285,0.82242846,63 milliseconds,0
34,5,"(2, 6)",2,6,8.87E-09,0.000568491,-0.000568482,94 milliseconds,0
34,6,"(2, 1)",2,1,20007.91041,19971.1632,36.7472088,57 milliseconds,1
34,7,"(1, 5)",1,5,1947.496248,1947.205211,0.291037125,60 milliseconds,0
34,8,"(1, 6)",1,6,243.2041704,241.1532752,2.050895179,60 milliseconds,0
34,9,"(2, 2)",2,2,26124.80441,26116.04924,8.755174587,61 milliseconds,0
34,10,"(2, 3)",2,3,2386.694965,2385.512483,1.182481996,65 milliseconds,0
34,11,"(2, 4)",2,4,4.11E-09,0.000281583,-0.000281578,50 milliseconds,0
34,12,"(1, 1)",1,1,4623.041376,4621.679195,1.362180496,61 milliseconds,0
35,1,"(1, 2)",1,2,6553.633226,6550.520683,3.112543059,72 milliseconds,0
35,2,"(2, 5)",2,5,5962.864134,5962.864417,-0.00028301,54 milliseconds,0
35,3,"(1, 3)",1,3,1919.927451,1919.254662,0.672789095,66 milliseconds,0
35,4,"(1, 4)",1,4,108.7908603,107.9384452,0.852415109,52 milliseconds,0
35,5,"(2, 6)",2,6,3.68E-10,0.000194403,-0.000194402,63 milliseconds,0
35,6,"(2, 1)",2,1,20088.52879,20085.49209,3.036692816,68 milliseconds,0
35,7,"(1, 5)",1,5,1951.642842,1951.285231,0.357611329,64 milliseconds,0
35,8,"(1, 6)",1,6,246.2784726,244.4595906,1.818882046,54 milliseconds,0
35,9,"(2, 2)",2,2,26084.29789,26072.25345,12.04444392,57 milliseconds,1
35,10,"(2, 3)",2,3,2357.176751,2346.850474,10.32627791,62 milliseconds,0
35,11,"(2, 4)",2,4,1.95E-11,0.000175374,-0.000175374,48 milliseconds,0
35,12,"(1, 1)",1,1,4629.664043,4628.021253,1.642790393,72 milliseconds,0
36,1,"(1, 2)",1,2,6555.312957,6551.138206,4.17475056,81 milliseconds,0
36,2,"(2, 5)",2,5,6243.57452,6240.818896,2.755624434,62 milliseconds,0
36,3,"(1, 3)",1,3,1918.763372,1918.188764,0.57460802,65 milliseconds,0
36,4,"(1, 4)",1,4,107.4185341,106.9677851,0.450748965,69 milliseconds,0
36,5,"(2, 6)",2,6,6.85E-11,0.000310246,-0.000310246,54 milliseconds,0
36,6,"(2, 1)",2,1,20140.25318,20121.56706,18.68612121,71 milliseconds,0
36,7,"(1, 5)",1,5,1951.633547,1951.263709,0.369837889,71 milliseconds,0
36,8,"(1, 6)",1,6,245.2034451,244.3334111,0.870033987,59 milliseconds,0
36,9,"(2, 2)",2,2,26009.81551,25957.85883,51.95668011,70 milliseconds,0
36,10,"(2, 3)",2,3,2445.464475,2384.508635,60.95584016,72 milliseconds,1
36,11,"(2, 4)",2,4,1.02E-11,0.000179116,-0.000179116,53 milliseconds,0
36,12,"(1, 1)",1,1,4628.692337,4627.766817,0.925520362,66 milliseconds,0
37,1,"(1, 2)",1,2,6559.494155,6555.450979,4.043176252,70 milliseconds,0
37,2,"(2, 5)",2,5,6208.908122,6207.338354,1.569768394,60 milliseconds,0
37,3,"(1, 3)",1,3,1919.917384,1919.22803,0.689354432,64 milliseconds,0
37,4,"(1, 4)",1,4,106.0048457,105.5979936,0.406852098,61 milliseconds,0
37,5,"(2, 6)",2,6,1.29E-09,0.000261279,-0.000261278,55 milliseconds,0
37,6,"(2, 1)",2,1,20022.20051,20018.79819,3.402319189,57 milliseconds,0
37,7,"(1, 5)",1,5,1952.618142,1952.147149,0.470993017,68 milliseconds,0
37,8,"(1, 6)",1,6,245.7130506,243.9459907,1.767059882,60 milliseconds,0
37,9,"(2, 2)",2,2,25954.94902,25805.00159,149.9474349,62 milliseconds,1
37,10,"(2, 3)",2,3,2579.79091,2538.345669,41.44524041,58 milliseconds,0
37,11,"(2, 4)",2,4,1.63E-10,0.000236454,-0.000236454,50 milliseconds,0
37,12,"(1, 1)",1,1,4632.967099,4630.422647,2.544452353,72 milliseconds,0
38,1,"(1, 2)",1,2,7445.785652,6567.285916,878.4997356,69 milliseconds,1
38,2,"(2, 5)",2,5,6175.597369,6175.582379,0.014990193,61 milliseconds,0
38,3,"(1, 3)",1,3,1930.06969,1930.041858,0.027831687,64 milliseconds,0
38,4,"(1, 4)",1,4,109.7190298,109.542681,0.176348829,68 milliseconds,0
38,5,"(2, 6)",2,6,1.90E-10,0.000322881,-0.000322881,53 milliseconds,0
38,6,"(2, 1)",2,1,19954.84422,19954.02943,0.814786818,65 milliseconds,0
38,7,"(1, 5)",1,5,1956.76903,1956.621565,0.147465628,69 milliseconds,0
38,8,"(1, 6)",1,6,247.2040113,246.9605493,0.243461987,66 milliseconds,0
38,9,"(2, 2)",2,2,26134.13231,25728.04345,406.0888625,62 milliseconds,0
38,10,"(2, 3)",2,3,2306.084353,2146.56844,159.5159122,63 milliseconds,0
38,11,"(2, 4)",2,4,9.79E-11,0.000248121,-0.000248121,61 milliseconds,0
38,12,"(1, 1)",1,1,4635.517846,4631.577731,3.940115106,76 milliseconds,0
