timestep,region,system,id,variable,value,i
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.816336415,44
2040,DE,ocgt < ocgtGas,,capaConv,11.01870824,44
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,5.42E-05,44
2040,DE,wind < offshore,,capaConv,45.67940066,44
2040,DE,battery < lithiumBattery,1,capaStOut,0.615416933,44
2040,DE,battery < lithiumBattery,1,capaStSize,0.061635341,44
2040,DE,battery < lithiumBattery,1,capaStIn,0.615416933,44
none,none,none,none,objectiveValue,37.4746051,44
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-74.03535356,44
2040,DE,solar < rooftopInd,,capaConvDual,-2.639753788,44
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-76.50065968,44
2040,DE,solar < rooftopResi,,capaConvDual,-2.639753788,44
2040,DE,wind < onshore,,capaConvDual,-35.86641885,44
2040,DE,solar < openspace,,capaConvDual,-2.639753788,44
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249705454,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,44
2040,DE,wind < offshore,,capaConvDual,-35.86641885,44
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.32747164,44
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-74.03535356,44
2040,DE,solar < rooftopInd,,capaConvDual,-2.639753788,44
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-76.50065968,44
2040,DE,solar < rooftopResi,,capaConvDual,-2.639753788,44
2040,DE,wind < onshore,,capaConvDual,-35.86641885,44
2040,DE,solar < openspace,,capaConvDual,-2.639753788,44
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249705454,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,44
2040,DE,wind < offshore,,capaConvDual,-35.86641885,44
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.32747164,44
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.312064081,45
2040,DE,solar < rooftopInd,,capaConv,3.692682075,45
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.70094938,45
2040,DE,engine < enginePeak < gasEngine,,capaConv,20.37939067,45
2040,DE,solar < rooftopResi,,capaConv,3.586915514,45
2040,DE,wind < onshore,,capaConv,86.46258714,45
2040,DE,ocgt < ocgtH2,,capaConv,62.38656531,45
2040,DE,solar < openspace,,capaConv,3.730042873,45
2040,DE,battery < redoxBattery,1,capaStOut,8.60E-05,45
2040,DE,battery < redoxBattery,1,capaStSize,0.000278356,45
2040,DE,battery < redoxBattery,1,capaStIn,8.60E-05,45
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.861098992,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,861.0989924,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.861098992,45
2040,DE,ocgt < ocgtGas,,capaConv,11.34297715,45
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,8.69E-05,45
2040,DE,wind < offshore,,capaConv,46.14572378,45
2040,DE,battery < lithiumBattery,1,capaStOut,0.610728614,45
2040,DE,battery < lithiumBattery,1,capaStSize,0.061212069,45
2040,DE,battery < lithiumBattery,1,capaStIn,0.610728614,45
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.312064081,45
2040,DE,solar < rooftopInd,,capaConv,3.692682075,45
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.70094938,45
2040,DE,engine < enginePeak < gasEngine,,capaConv,20.37939067,45
2040,DE,solar < rooftopResi,,capaConv,3.586915514,45
2040,DE,wind < onshore,,capaConv,86.46258714,45
2040,DE,ocgt < ocgtH2,,capaConv,62.38656531,45
2040,DE,solar < openspace,,capaConv,3.730042873,45
2040,DE,battery < redoxBattery,1,capaStOut,8.60E-05,45
2040,DE,battery < redoxBattery,1,capaStSize,0.000278356,45
2040,DE,battery < redoxBattery,1,capaStIn,8.60E-05,45
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.861098992,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,861.0989924,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.861098992,45
2040,DE,ocgt < ocgtGas,,capaConv,11.34297715,45
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,8.69E-05,45
2040,DE,wind < offshore,,capaConv,46.14572378,45
2040,DE,battery < lithiumBattery,1,capaStOut,0.610728614,45
2040,DE,battery < lithiumBattery,1,capaStSize,0.061212069,45
2040,DE,battery < lithiumBattery,1,capaStIn,0.610728614,45
none,none,none,none,objectiveValue,11.49892604,45
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-78.31496299,45
2040,DE,solar < rooftopInd,,capaConvDual,-2.602391336,45
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-81.00069849,45
2040,DE,solar < rooftopResi,,capaConvDual,-2.602391336,45
2040,DE,wind < onshore,,capaConvDual,-33.09792095,45
2040,DE,solar < openspace,,capaConvDual,-2.602391336,45
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249876888,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,45
2040,DE,wind < offshore,,capaConvDual,-33.09792095,45
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.327724486,45
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-78.31496299,45
2040,DE,solar < rooftopInd,,capaConvDual,-2.602391336,45
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-81.00069849,45
2040,DE,solar < rooftopResi,,capaConvDual,-2.602391336,45
2040,DE,wind < onshore,,capaConvDual,-33.09792095,45
2040,DE,solar < openspace,,capaConvDual,-2.602391336,45
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249876888,45
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,45
2040,DE,wind < offshore,,capaConvDual,-33.09792095,45
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.327724486,45
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.285351545,46
2040,DE,solar < rooftopInd,,capaConv,3.851927288,46
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.690328503,46
2040,DE,engine < enginePeak < gasEngine,,capaConv,21.04424667,46
2040,DE,solar < rooftopResi,,capaConv,3.740626443,46
2040,DE,wind < onshore,,capaConv,86.46258696,46
2040,DE,ocgt < ocgtH2,,capaConv,64.63609151,46
2040,DE,solar < openspace,,capaConv,3.891242468,46
2040,DE,battery < redoxBattery,1,capaStOut,3.07E-05,46
2040,DE,battery < redoxBattery,1,capaStSize,0.000125332,46
2040,DE,battery < redoxBattery,1,capaStIn,3.07E-05,46
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.85384578,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,853.84578,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.85384578,46
2040,DE,ocgt < ocgtGas,,capaConv,11.68761784,46
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,3.17E-05,46
2040,DE,wind < offshore,,capaConv,46.56115225,46
2040,DE,battery < lithiumBattery,1,capaStOut,0.605734111,46
2040,DE,battery < lithiumBattery,1,capaStSize,0.060624589,46
2040,DE,battery < lithiumBattery,1,capaStIn,0.605734111,46
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.285351545,46
2040,DE,solar < rooftopInd,,capaConv,3.851927288,46
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.690328503,46
2040,DE,engine < enginePeak < gasEngine,,capaConv,21.04424667,46
2040,DE,solar < rooftopResi,,capaConv,3.740626443,46
2040,DE,wind < onshore,,capaConv,86.46258696,46
2040,DE,ocgt < ocgtH2,,capaConv,64.63609151,46
2040,DE,solar < openspace,,capaConv,3.891242468,46
2040,DE,battery < redoxBattery,1,capaStOut,3.07E-05,46
2040,DE,battery < redoxBattery,1,capaStSize,0.000125332,46
2040,DE,battery < redoxBattery,1,capaStIn,3.07E-05,46
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.85384578,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,853.84578,46
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.85384578,46
2040,DE,ocgt < ocgtGas,,capaConv,11.68761784,46
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,3.17E-05,46
2040,DE,wind < offshore,,capaConv,46.56115225,46
2040,DE,battery < lithiumBattery,1,capaStOut,0.605734111,46
2040,DE,battery < lithiumBattery,1,capaStSize,0.060624589,46
2040,DE,battery < lithiumBattery,1,capaStIn,0.605734111,46
none,none,none,none,objectiveValue,2.55E-10,46
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.254559181,47
