i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
17,3,"(2, 2)",2,2,278118.45221325965,276676.2606163442,1442.1915969154215,101 milliseconds,1.0
17,4,"(2, 1)",2,1,3.7200817019831146e-13,2.5045136236984254e-5,-2.5045135864976084e-5,97 milliseconds,0.0
18,1,"(1, 2)",1,2,136576.44170005957,133857.78294342663,2718.65875663294,84 milliseconds,1.0
18,2,"(1, 1)",1,1,12.822747355797011,8.805248046643444e-5,12.822659303316545,76 milliseconds,0.0
18,3,"(2, 2)",2,2,245615.30071177398,243245.89618914624,2369.4045226277376,119 milliseconds,0.0
18,4,"(2, 1)",2,1,1.0589046452934483e-11,9.340163400148374e-5,-9.340162341243728e-5,85 milliseconds,0.0
19,1,"(1, 2)",1,2,99648.1354522756,97804.78278186142,1843.352670414184,85 milliseconds,0.0
19,2,"(1, 1)",1,1,3.405875712994359,1.4196986053006387e-5,3.405861516008306,77 milliseconds,0.0
19,3,"(2, 2)",2,2,215526.23961134022,205394.89463341428,10131.344977925939,116 milliseconds,1.0
19,4,"(2, 1)",2,1,1.8182615714730006e-14,1.7203485961771913e-5,-1.7203485943589297e-5,89 milliseconds,0.0
20,1,"(1, 2)",1,2,64908.44533620879,54758.90007278916,10149.545263419626,85 milliseconds,1.0
20,2,"(1, 1)",1,1,6.443133834664803e-12,2.5790202379641713e-5,-2.579019593650788e-5,75 milliseconds,0.0
20,3,"(2, 2)",2,2,189036.95403294842,188932.28280967197,104.67122327644029,105 milliseconds,0.0
20,4,"(2, 1)",2,1,7.408092908401384e-14,2.632493207379689e-5,-2.632493199971596e-5,87 milliseconds,0.0
21,1,"(1, 2)",1,2,34890.66024538497,29886.800437531838,5003.859807853132,95 milliseconds,1.0
21,2,"(1, 1)",1,1,3.233528328158886e-15,0.000593779214830446,-0.0005937792148272125,68 milliseconds,0.0
21,3,"(2, 2)",2,2,162077.69591180695,159511.23913110248,2566.456780704466,100 milliseconds,0.0
21,4,"(2, 1)",2,1,3.391505574773023e-8,0.0006595216680200345,-0.0006594877529642868,88 milliseconds,0.0
22,1,"(1, 2)",1,2,11807.976042558483,5634.6545442617125,6173.32149829677,83 milliseconds,0.0
22,2,"(1, 1)",1,1,1.325943056402772e-9,4.571662304582649e-6,-4.570336361526246e-6,68 milliseconds,0.0
22,3,"(2, 2)",2,2,133687.12537893912,127180.96895752722,6506.156421411899,105 milliseconds,1.0
22,4,"(2, 1)",2,1,5.256240167800403e-9,4.893807080423862e-6,-4.888550840256062e-6,82 milliseconds,0.0
23,1,"(1, 2)",1,2,9054.439419378366,0.0004465897320593698,9054.438972788634,84 milliseconds,1.0
23,2,"(1, 1)",1,1,4.0458314081833687e-11,1.719519553166272e-5,-1.719515507334864e-5,86 milliseconds,0.0
23,3,"(2, 2)",2,2,100868.13559683134,98599.18154173683,2268.9540550945094,128 milliseconds,0.0
23,4,"(2, 1)",2,1,8.062078130178295e-12,1.7884577239339725e-5,-1.7884569177261594e-5,90 milliseconds,0.0
24,1,"(1, 2)",1,2,8822.347207291494,8800.636074414251,21.711132877242562,80 milliseconds,0.0
24,2,"(1, 1)",1,1,4.578404562934655e-9,2.4700576273006353e-6,-2.4654792227377006e-6,70 milliseconds,0.0
24,3,"(2, 2)",2,2,73429.80384812696,62373.18023254799,11056.623615578974,108 milliseconds,1.0
24,4,"(2, 1)",2,1,2.288624946230548e-10,2.8420276428107822e-6,-2.841798780316159e-6,82 milliseconds,0.0
25,1,"(1, 2)",1,2,8597.228124227637,8542.530854310835,54.697269916801815,83 milliseconds,0.0
25,2,"(1, 1)",1,1,3.1612791585658145e-9,8.141881497673685e-6,-8.138720218515119e-6,73 milliseconds,0.0
25,3,"(2, 2)",2,2,46744.51629775576,45178.95315710097,1565.563140654791,117 milliseconds,1.0
25,4,"(2, 1)",2,1,4.92962947479432e-11,9.854309980023028e-6,-9.85426068372828e-6,80 milliseconds,0.0
26,1,"(1, 2)",1,2,8353.374037122332,8249.029700842373,104.34433627995895,80 milliseconds,0.0
26,2,"(1, 1)",1,1,2.0505041863520847e-11,1.3463200157406194e-6,-1.3462995106987559e-6,76 milliseconds,0.0
26,3,"(2, 2)",2,2,24870.253591992427,22321.693479107314,2548.560112885112,101 milliseconds,1.0
26,4,"(2, 1)",2,1,7.506882184269898e-13,1.5432556771654613e-6,-1.5432549264772428e-6,82 milliseconds,0.0
27,1,"(1, 2)",1,2,8106.334569610745,7950.5903896643385,155.7441799464068,74 milliseconds,0.0
27,2,"(1, 1)",1,1,1.6958062104429447e-11,1.656279587863058e-5,-1.6562778920568475e-5,69 milliseconds,0.0
27,3,"(2, 2)",2,2,14202.838229108995,7601.259635628084,6601.578593480911,93 milliseconds,1.0
27,4,"(2, 1)",2,1,4.635192355817841e-12,2.021347753917978e-5,-2.0213472903987425e-5,71 milliseconds,0.0
28,1,"(1, 2)",1,2,6887.492648072322,6263.813514015444,623.679134056878,71 milliseconds,0.0
28,2,"(1, 1)",1,1,2.8834824304120424e-10,5.9141032271862446e-6,-5.913814878943203e-6,64 milliseconds,0.0
28,3,"(2, 2)",2,2,15977.333827201312,14598.799867492016,1378.5339597092952,90 milliseconds,1.0
28,4,"(2, 1)",2,1,1.3742067842347086e-12,6.892171383335049e-6,-6.892170009128264e-6,71 milliseconds,0.0
29,1,"(1, 2)",1,2,5468.176674764655,4421.996669195863,1046.1800055687918,75 milliseconds,1.0
29,2,"(1, 1)",1,1,2.2913368199233356e-11,2.9305327224770017e-5,-2.9305304311401817e-5,65 milliseconds,0.0
29,3,"(2, 2)",2,2,14974.421330414789,14833.852442372345,140.5688880424441,89 milliseconds,0.0
29,4,"(2, 1)",2,1,1.155655596872916e-11,3.7985999362415165e-5,-3.7985987805859194e-5,71 milliseconds,0.0
30,1,"(1, 2)",1,2,4220.084712647719,2717.0814079988677,1503.0033046488516,77 milliseconds,1.0
30,2,"(1, 1)",1,1,1.588528130579858e-10,4.103078859703726e-5,-4.10306297442242e-5,63 milliseconds,0.0
30,3,"(2, 2)",2,2,16330.888221491261,15228.257628611007,1102.630592880254,81 milliseconds,0.0
30,4,"(2, 1)",2,1,1.4253551825535713e-11,5.0900273932223676e-5,-5.090025967867185e-5,64 milliseconds,0.0
31,1,"(1, 2)",1,2,3890.64563462326,3741.7725215331375,148.8731130901224,67 milliseconds,0.0
31,2,"(1, 1)",1,1,1.3363420671790296e-9,4.498857715270445e-5,-4.4987240810637274e-5,53 milliseconds,0.0
31,3,"(2, 2)",2,2,16905.264630415608,15845.908692545334,1059.355937870274,62 milliseconds,1.0
31,4,"(2, 1)",2,1,6.162843723255054e-11,5.398414821906373e-5,-5.39840865906265e-5,54 milliseconds,0.0
32,1,"(1, 2)",1,2,3948.6418699536966,3083.418078878401,865.2237910752956,56 milliseconds,1.0
32,2,"(1, 1)",1,1,131.3064616215636,3.152642073454586e-5,131.30643009514287,64 milliseconds,0.0
32,3,"(2, 2)",2,2,16728.80275267067,16277.228375714765,451.57437695590306,67 milliseconds,0.0
32,4,"(2, 1)",2,1,1.9476802025014113e-10,3.9905464769199084e-5,-3.9905270001178836e-5,49 milliseconds,0.0
33,1,"(1, 2)",1,2,4550.417328101347,4439.996736305139,110.4205917962081,54 milliseconds,0.0
33,2,"(1, 1)",1,1,602.1899938585294,2.9337846607491757e-6,602.1899909247447,56 milliseconds,0.0
33,3,"(2, 2)",2,2,18382.345323950263,16918.9850387522,1463.360285198065,61 milliseconds,1.0
33,4,"(2, 1)",2,1,1.698144902664383e-8,4.122739365770491e-6,-4.1057579167438465e-6,51 milliseconds,0.0
34,1,"(1, 2)",1,2,4531.600746770252,4399.716285673917,131.88446109633514,60 milliseconds,0.0
34,2,"(1, 1)",1,1,514.7118056768618,8.296585841641835e-6,514.7117973802759,50 milliseconds,0.0
34,3,"(2, 2)",2,2,17299.139201458922,16561.019608138773,738.1195933201489,78 milliseconds,1.0
34,4,"(2, 1)",2,1,9.471940930442566e-15,1.0581852419311734e-5,-1.0581852409839793e-5,62 milliseconds,0.0
35,1,"(1, 2)",1,2,5001.899209394595,4599.498773620992,402.400435773603,58 milliseconds,0.0
35,2,"(1, 1)",1,1,923.5856094673252,9.523057885170752e-6,923.5855999442673,70 milliseconds,1.0
35,3,"(2, 2)",2,2,16780.851559875617,16430.007660219533,350.8438996560835,62 milliseconds,0.0
35,4,"(2, 1)",2,1,7.529272667802661e-11,1.1330250516293221e-5,-1.1330175223566542e-5,59 milliseconds,0.0
36,1,"(1, 2)",1,2,4656.373760108135,4232.342494444608,424.03126566352694,60 milliseconds,1.0
36,2,"(1, 1)",1,1,314.2281779092865,265.4846297573667,48.74354815191981,70 milliseconds,0.0
36,3,"(2, 2)",2,2,16740.040937163998,16380.412167797027,359.628769366971,60 milliseconds,0.0
36,4,"(2, 1)",2,1,37.869030426809,1.933331413425245e-5,37.86901109349486,52 milliseconds,0.0
