i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
70,8,"(1, 6)",1,6,286.66392003759023,160.33877049983806,126.32514953775217,59 milliseconds,0.0
70,9,"(2, 2)",2,2,24882.248910050323,24575.55296753502,306.6959425153036,62 milliseconds,1.0
70,10,"(2, 3)",2,3,1915.151953465383,1884.8472540581713,30.30469940721173,60 milliseconds,0.0
70,11,"(2, 4)",2,4,5.946731378611933e-10,0.00011358440225303621,-0.00011358380757989834,51 milliseconds,0.0
70,12,"(1, 1)",1,1,4618.815685457635,4595.682048413016,23.13363704461881,56 milliseconds,0.0
71,1,"(1, 2)",1,2,6536.687321411988,6437.233936702768,99.45338470921979,73 milliseconds,0.0
71,2,"(2, 5)",2,5,5969.861815441529,5861.882403470896,107.97941197063301,61 milliseconds,0.0
71,3,"(1, 3)",1,3,1950.8792124011882,1881.7740816473688,69.10513075381937,61 milliseconds,0.0
71,4,"(1, 4)",1,4,160.04947228983158,33.581076305601314,126.46839598423027,57 milliseconds,0.0
71,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00012610599521306623,-0.00012610597196698427,52 milliseconds,0.0
71,6,"(2, 1)",2,1,19393.283643227147,19212.765805826843,180.51783740030442,68 milliseconds,1.0
71,7,"(1, 5)",1,5,1974.5193418137646,1966.0123666782308,8.506975135533821,61 milliseconds,0.0
71,8,"(1, 6)",1,6,286.66392003759023,162.71323836036788,123.95068167722235,59 milliseconds,0.0
71,9,"(2, 2)",2,2,24751.769434448248,24660.890734837667,90.87869961058095,57 milliseconds,0.0
71,10,"(2, 3)",2,3,1915.151953465383,1964.8356574069005,-49.68370394151748,62 milliseconds,0.0
71,11,"(2, 4)",2,4,5.946731378611933e-10,2.6058643889221814e-5,-2.6058049216083954e-5,49 milliseconds,0.0
71,12,"(1, 1)",1,1,4618.815685457635,4598.138886126861,20.676799330773974,64 milliseconds,0.0
